what,kind,bundleId,bundleVersion,description,time
activated,editor,com.aptana.portal.ui,3.0.0.1312501587,"com.aptana.portal.ui.browser.startPage",1328181438269
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328181438306
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1328181438333
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1328181438467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328181438613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328181440603
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1328181440733
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1328181440752
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1328181440770
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1328181440780
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1328181440819
error,log,,,"IO Exception when contacting server",1328181441083
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328181442632
closed,editor,com.aptana.portal.ui,3.0.0.1312501587,"com.aptana.portal.ui.browser.startPage",1328181442632
started,bundle,org.eclipse.xtext,1.0.2.v201102150722,"org.eclipse.xtext",1328181442980
started,bundle,org.eclipse.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.ui",1328181442996
started,bundle,org.eclipse.xtext.builder,1.0.2.v201102150722,"org.eclipse.xtext.builder",1328181443127
started,bundle,org.eclipse.xtext.ui.shared,1.0.2.v201102150722,"org.eclipse.xtext.ui.shared",1328181443446
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1328181443553
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1328181443627
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1328181443628
started,bundle,org.eclipse.emf.mwe.core,1.0.2.v201102150556,"org.eclipse.emf.mwe.core",1328181443757
started,bundle,org.eclipse.xtext.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.xtext.ui",1328181444736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328181444738
started,bundle,org.python.pydev.core,2.2.1.2011073123,"org.python.pydev.core",1328181444749
started,bundle,org.python.pydev.debug,2.2.1.2011073123,"org.python.pydev.debug",1328181444753
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1328181444771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328181446690
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328181446826
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.200.v20100302-2359,"org.eclipse.gmf.codegen.ui",1328181447672
stopped,bundle,org.eclipse.m2m.qvt.oml.debug.ui,1.0.1.v20100917-1530,"org.eclipse.m2m.qvt.oml.debug.ui",1328181447673
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,2.1.0.v20091116-1630,"org.eclipse.m2m.qvt.oml.ui",1328181447673
stopped,bundle,org.eclipse.xtext.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.xtext.ui",1328181447674
stopped,bundle,com.soyatec.edepend,3.6.1.20110420,"com.soyatec.edepend",1328181447674
stopped,bundle,com.soyatec.project.diagram,3.6.1.20110420,"com.soyatec.project.diagram",1328181447674
stopped,bundle,com.soyatec.project,3.6.1.20110420,"com.soyatec.project",1328181447675
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1328181447676
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1328181447676
stopped,bundle,com.soyatec.database,3.6.1.20110420,"com.soyatec.database",1328181447676
stopped,bundle,com.soyatec.eemf,3.6.1.20110420,"com.soyatec.eemf",1328181447677
stopped,bundle,com.soyatec.euml2,3.6.1.20110420,"com.soyatec.euml2",1328181447677
stopped,bundle,com.soyatec.additional,3.6.1.20110420,"com.soyatec.additional",1328181447677
stopped,bundle,com.soyatec.core,3.6.1.20110420,"com.soyatec.core",1328181447678
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1328181447678
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1328181447680
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1328181447681
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1328181447682
stopped,bundle,org.eclipse.rap.ui.launch,1.3.2.20110216-1041,"org.eclipse.rap.ui.launch",1328181447686
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1328181447686
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1328181447687
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1328181447689
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1328181447691
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1328181447697
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1328181447697
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1328181447698
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1328181447701
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1328181447702
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1328181447704
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1328181447707
stopped,bundle,org.eclipse.emf.eef.codegen,0.8.2.v201101310604,"org.eclipse.emf.eef.codegen",1328181447708
stopped,bundle,org.eclipse.emf.eef.components.editor,0.8.2.v201101310604,"org.eclipse.emf.eef.components.editor",1328181447712
stopped,bundle,org.eclipse.emf.eef.eefgen.editor,0.8.2.v201101310604,"org.eclipse.emf.eef.eefgen.editor",1328181447713
stopped,bundle,org.eclipse.emf.eef.eefgen.edit,0.8.2.v201101310604,"org.eclipse.emf.eef.eefgen.edit",1328181447718
stopped,bundle,org.eclipse.emf.eef.components.edit,0.8.2.v201101310604,"org.eclipse.emf.eef.components.edit",1328181447718
stopped,bundle,org.eclipse.emf.eef.mapping.edit,0.8.2.v201101310604,"org.eclipse.emf.eef.mapping.edit",1328181447723
stopped,bundle,org.eclipse.emf.eef.views.editor,0.8.2.v201101310604,"org.eclipse.emf.eef.views.editor",1328181447725
stopped,bundle,org.eclipse.emf.eef.views.edit,0.8.2.v201101310604,"org.eclipse.emf.eef.views.edit",1328181447730
stopped,bundle,org.eclipse.emf.eef.runtime,0.8.2.v201101310604,"org.eclipse.emf.eef.runtime",1328181447730
stopped,bundle,org.eclipse.emf.generic.editor,1.0.0.v201008251147,"org.eclipse.emf.generic.editor",1328181447730
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.10.0.v20100521-2009,"org.eclipse.emf.ecoretools.diagram",1328181447731
stopped,bundle,org.eclipse.gmf.ecore.editor,2.2.0.v20100315-2359,"org.eclipse.gmf.ecore.editor",1328181447732
stopped,bundle,org.eclipse.gmf.examples.runtime.diagram.geoshapes,1.2.0.v20100511-1355,"org.eclipse.gmf.examples.runtime.diagram.geoshapes",1328181447733
stopped,bundle,org.eclipse.gmf.examples.runtime.diagram.logic,1.2.1.v20100121-1020,"org.eclipse.gmf.examples.runtime.diagram.logic",1328181447734
stopped,bundle,org.eclipse.emf.cdo.dawn.examples.acore.diagram,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.examples.acore.diagram",1328181447761
stopped,bundle,org.soyatec.tools.modeling,3.6.1.20110420,"org.soyatec.tools.modeling",1328181447761
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.4.1.v20100909-1300,"org.eclipse.gmf.runtime.diagram.ui.render",1328181447762
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1328181447764
stopped,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1328181447765
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.compatibility.ui",1328181447765
stopped,bundle,org.eclipse.gmt.modisco.workflow.driver.acceleo,0.8.2.v201102100957,"org.eclipse.gmt.modisco.workflow.driver.acceleo",1328181447765
stopped,bundle,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui",1328181447770
stopped,bundle,org.eclipse.acceleo.profiler.editor,3.0.2.v20110217-1127,"org.eclipse.acceleo.profiler.editor",1328181447771
stopped,bundle,org.eclipse.acceleo.profiler.edit,3.0.2.v20110217-1127,"org.eclipse.acceleo.profiler.edit",1328181447772
stopped,bundle,org.eclipse.amalgam.discovery.modeling,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.modeling",1328181447772
stopped,bundle,org.eclipse.amalgam.discovery.ui,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.ui",1328181447772
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.editor,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.editor",1328181447773
stopped,bundle,org.eclipse.emf.cdo.dawn.ui,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.ui",1328181447773
stopped,bundle,org.eclipse.emf.cdo.ui.defs,3.0.0.v20110120-1046,"org.eclipse.emf.cdo.ui.defs",1328181447774
stopped,bundle,org.eclipse.emf.cdo.ui.ide,3.0.0.v20110120-1046,"org.eclipse.emf.cdo.ui.ide",1328181447775
stopped,bundle,org.eclipse.emf.cdo.ui,3.0.0.v20110120-1046,"org.eclipse.emf.cdo.ui",1328181447775
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.edit,0.2.0.v20110120-1046,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.edit",1328181447775
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20100521-1846,"org.eclipse.emf.cheatsheets",1328181447776
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.4.0.v201005031530,"org.eclipse.uml2.uml.ecore.exporter",1328181447776
